ID;County;Site_Name;Easting;Northing;Depth;New_Code;Sample_Date;pH;T;O(0);Eh;Alkalinity;N(-3);N(3);N(5);P;C(-4);Si;Cl;F;S(6);Na;K;Mg;Ca;Fe;Mn;B;Al;Cr;Ni;Cu;Zn;As;Cd;Sb;Ba;Pb;U;Hg;Co;Mo;Sr;Ag;Be
09925;Tipperary South;Coolmore (Stud BH);222794;140167;;IE_SE_G_0040_3700_0001;06/11/14;0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
09926;Offaly;Clonbulloge WS;260780;223655;;IE_SE_G_0048_2500_0004;06/11/14;7.1;14.6;1.8;38;153;-0.02;-0.013;12.84;0.014;-1.5;9;19;-0.2;9;9;1.1;17;97;15;-5;14;-10;2;-1;-1;3;-1;0;1.7;23;-1;1.2;-0.05;-1;-1;240;nd;-1
09927;Offaly;Walsh Island PWS (Coolagarry BH);252172;221093;;IE_SE_G_0116_2500_0015;06/11/14;7;10.8;7.3;-42;189;-0.02;-0.013;24.8;0.011;-1.5;7;17;-0.2;14;7.9;1.1;20;120;-10;-5;27;-10;1;-1;8;11;-1;0.1;-1;20;-1;-1;-0.05;-1;-1;140;nd;-1
09928;Laois;Portarlington PWS (Lough BHA);254062;208593;;IE_SE_G_0153_1600_0010;06/11/14;6.9;11.6;0.6;48;177;0.034;-0.013;13.29;-0.01;1.5;8;21;-0.2;3;10;2.8;13;130;14;-5;28;-10;-1;1;10;19;-1;0;-1;130;-1;1.6;-0.05;-1;-1;280;nd;-1
09929;Cork;Carraignabhfear PWS;167289;82105;;IE_SW_G_0004_0500_0005;06/11/14;5.6;11.3;5.5;255;43;-0.02;-0.013;32.77;0.03;1.6;11;17;-0.2;13;12;0.8;8.2;27;-10;-5;11;-10;-1;-1;7;12;3.8;0;-1;14;-1;-1;-0.05;-1;-1;77;nd;-1
09930;Cork;Watergrasshill PWS;178447;83981;;IE_SW_G_0004_0500_0028;06/11/14;5.6;11.1;6.5;248;13;-0.02;-0.013;4.34;0.013;-1.5;6;15;-0.2;-2;8.7;0.5;1.9;6.6;-10;-5;-10;-10;-1;-1;-1;1;-1;0;-1;7;-1;-1;-0.05;-1;-1;18;nd;-1
09931;Cork;Cloyne PWS;191880;67175;;IE_SW_G_0028_0500_0009;06/11/14;7;11.3;5.3;221;146;-0.02;-0.013;25.69;-0.01;-1.5;7;35;-0.2;-2;18;2.1;8.3;110;-10;6;19;-10;-1;-1;3;9;-1;0.1;-1;2;-1;-1;-0.05;-1;15;140;nd;-1
09932;Cork;Whitegate PWS (Dower Spring);197985;72941;;IE_SW_G_0058_0500_0026;06/11/14;7.1;10.8;4.7;220;122;-0.02;-0.013;28.34;0.024;1.5;7;32;-0.2;-2;17;2.7;8.9;78;-10;-5;22;-10;-1;-1;-1;1;-1;0;-1;6;-1;-1;-0.05;-1;-1;110;nd;-1
09933;Wexford;Carrickbyrne WS;283269;124270;;IE_SE_G_0001_3300_0002;10/11/14;5.7;11;7;162;22;-0.02;-0.013;17.71;-0.01;-1.5;11;31;-0.2;9;16;1.1;5.4;11;-10;-5;12;-10;-1;-1;4;7;-1;0;-1;8;-1;-1;-0.05;-1;-1;41;nd;-1
09934;Tipperary South;Coolnamuck;238687;121347;;IE_SE_G_0030_3700_0002;10/11/14;6.7;11.2;8;98;110;-0.02;-0.013;10.63;0.03;-1.5;7;16;-0.2;4;6.5;0.8;4.4;70;-10;-5;13;-10;-1;-1;-1;6;-1;0;-1;11;-1;-1;-0.05;-1;-1;87;nd;-1
