ID;County;Site_Name;Easting;Northing;New_Code;Sample_Date;pH;T;O(0);Eh;Alkalinity;N(-3);N(3);N(5);P;C(-4);Si;Cl;F;S(6);Na;K;Mg;Ca;Fe;Mn;B;Al;Cr;Ni;Cu;Zn;As;Cd;Sb;Ba;Pb;U;Hg;Co;Mo;Sr;Ag;Be
00429;Wicklow;Roundwood (Ashtown);318660;203350;IE_EA_G_0076_3400_0011;05/11/97;6.5;nd;nd;nd;24;0.021;nd;19.21;0.007;nd;nd;12;nd;5;7.1;0.3;6.54;12.0;51;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00430;Wicklow;Kerry Foods - Shillelagh;299504;167627;IE_SE_G_0011_3400_0007;05/11/97;6.3;nd;nd;nd;28;0.018;nd;18.23;0.045;nd;nd;23;nd;20;20.6;1.6;4.79;21.8;46;1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00431;Kildare;Curragh Camp  Hare Park;276982;211587;IE_SE_G_0133_1400_0005;06/11/97;7.3;nd;nd;nd;215;-0.010;nd;17.58;0.008;nd;nd;23;nd;34;17.5;1.4;14.61;137.2;50;1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00432;Galway;Kilbannon;141200;253900;IE_WE_G_0020_1200_0010;06/11/97;7.1;nd;nd;nd;194;-0.008;0.002;13.62;0.022;nd;nd;19;0.2;15;10.0;4.0;nd;nd;100;-50;nd;80;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00433;Galway;Ballygar;176526;252951;IE_SH_G_0028_1200_0002;12/11/97;7.0;nd;nd;nd;nd;-0.008;0.002;11.98;0.008;nd;nd;21;nd;nd;11.0;5.0;nd;nd;4;6;nd;15;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00434;Galway;Kilkerrin Moylough;164333;253943;IE_SH_G_0225_1200_0012;12/11/97;6.8;nd;nd;nd;nd;-0.008;0.002;8.63;0.023;nd;nd;18;0.2;7;9.0;4.0;nd;nd;20;5;nd;12;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00435;Galway;Mountbellew;166095;244819;IE_SH_G_0225_1200_0017;12/11/97;7.0;nd;nd;nd;nd;-0.008;0.002;10.82;0.016;nd;nd;17;0.2;nd;9.0;3.0;nd;nd;8;-1;nd;19;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00436;Galway;Barnaderg;154500;245100;IE_WE_G_0020_1200_0003;12/11/97;6.8;nd;nd;nd;nd;-0.008;0.002;21.41;0.038;nd;nd;21;0.2;nd;10.0;6.0;nd;nd;80;2;nd;16;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00437;Galway;Gortgarrow;157100;259500;IE_WE_G_0020_1200_0009;12/11/97;7.0;nd;nd;nd;nd;-0.008;0.002;12.71;0.012;nd;nd;19;0.2;nd;9.0;4.0;nd;nd;50;5;nd;12;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00438;Waterford;Ballykinsella WS;260205;105097;24_003;24/11/97;6.4;11.10;nd;nd;nd;-0.010;-0.004;41.18;-0.020;-0.1;nd;39;nd;31;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00439;Waterford;Kilrossanty WS;230449;101027;IE_SE_G_0146_3800_0009;24/11/97;5.8;10.70;nd;nd;nd;0.010;-0.004;21.70;0.030;-0.4;nd;18;nd;13;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00440;Waterford;Ballyrohan/Ballymacarbry PWS;219605;110952;IE_SE_G_0154_3800_0005;24/11/97;6.7;10.70;nd;nd;nd;-0.010;-0.004;23.47;-0.020;nd;nd;11;nd;8;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00441;Waterford;Ballyhane PWS;213258;97691;IE_SW_G_0050_3800_0002;24/11/97;7.1;11.40;nd;nd;nd;-0.010;-0.004;47.38;-0.020;nd;nd;28;nd;20;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00442;Waterford;Cappoquin WS;211498;99325;IE_SW_G_0050_3800_0006;24/11/97;6.1;11.30;nd;nd;nd;-0.010;-0.004;50.04;-0.020;nd;nd;27;nd;16;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00443;Waterford;Dungarvan PWS (Balinamuck);223631;94709;IE_SE_G_0052_3800_0007;25/11/97;7.3;12.10;nd;nd;nd;-0.010;-0.004;16.38;-0.020;1.8;nd;18;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00444;Cork;Millstreet PWS (Finnow Spring);126029;90948;IE_SW_G_0070_0500_0021;01/12/97;7.9;nd;nd;nd;73;-0.005;0.006;4.85;0.007;nd;nd;14;-0.2;3;9.7;0.6;3.28;45.3;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00445;Cork;Crookstown (BH3);143100;66200;IE_SW_G_0094_0500_0012;01/12/97;6.5;nd;nd;nd;40;-0.005;-0.005;28.40;0.030;nd;nd;23;-0.2;16;12.9;3.1;6.34;35.8;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00446;Cork;Cloyne PWS;191880;67175;IE_SW_G_0028_0500_0009;02/12/97;7.8;nd;nd;nd;159;-0.005;-0.005;23.00;-0.005;nd;nd;38;-0.2;20;18.4;1.6;7.97;126.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00447;Cork;Fermoy PWS;177756;98385;IE_SW_G_0037_0500_0015;02/12/97;7.7;nd;nd;nd;124;-0.005;-0.005;33.90;-0.005;nd;nd;22;-0.2;12;10.1;1.4;6.67;89.9;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00448;Cork;Mitchelstown PWS (South);181040;109989;IE_SW_G_0047_0500_0022;02/12/97;7.3;nd;nd;nd;63;-0.005;-0.005;29.10;0.006;nd;nd;23;-0.2;7;10.9;1.4;5.32;49.9;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00449;Cork;Conna PWS;191887;93390;IE_SW_G_0074_0500_0011;02/12/97;7.9;nd;nd;nd;142;-0.005;-0.005;34.50;-0.005;nd;nd;23;-0.2;17;11.2;5.8;6.34;111.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00450;Cork;Shanballymore PWS (Doneraile);166242;107358;IE_SW_G_0082_0500_0024;02/12/97;7.9;nd;nd;nd;169;-0.005;-0.005;23.90;-0.005;nd;nd;23;-0.2;16;9.8;1.0;6.11;129.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00451;Kerry;Kerry Spring Water;36400;104400;IE_SH_G_0044_1300_0008;03/12/97;7.1;nd;nd;nd;135;-0.005;-0.005;13.10;0.018;nd;nd;48;-0.2;12;26.2;2.2;11.20;61.5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00452;Kerry;Lixnaw  Ballybunnion;90567;126713;08_010;04/12/97;7.3;nd;nd;nd;160;-0.005;-0.005;65.40;0.006;nd;nd;50;-0.2;15;22.7;3.7;8.72;168.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00453;Kerry;Ballyheigue;76765;126492;IE_SH_G_0008_1300_0001;04/12/97;7.2;nd;nd;nd;217;-0.005;-0.005;37.90;0.008;nd;nd;87;-0.2;31;51.9;4.2;15.10;141.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00454;Cork;Ballinatona (Spring1);128306;112340;IE_SW_G_0070_0500_0002;04/12/97;7.5;nd;nd;nd;142;-0.005;-0.005;2.29;0.006;nd;nd;17;-0.2;7;12.2;0.8;7.76;73.6;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00455;Cork;Charleville WS (BH 3);153061;114603;IE_SW_G_0082_0500_0008;04/12/97;7.3;nd;nd;nd;110;-0.005;-0.005;9.88;0.046;nd;nd;20;-0.2;4;10.9;3.7;9.45;74.6;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00456;Kildare;Curragh Camp  McDonagh Well;278829;211660;IE_SE_G_0133_1400_0006;09/12/97;7.8;nd;nd;nd;203;0.015;nd;20.37;0.012;nd;nd;nd;nd;nd;nd;nd;nd;nd;11;2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00457;Cavan;Bawnboy ;220819;318047;IE_NW_G_0031_0200_0002;14/01/98;7.2;nd;nd;nd;101;0.010;0.001;4.56;0.030;nd;nd;13;nd;9;20.1;2.5;15.98;74.5;-50;-20;nd;nd;nd;nd;nd;nd;nd;0.5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00458;Carlow;Baganelstown PWS (BHC);270993;162409;IE_SE_G_0160_0100_0001;15/01/98;7.6;7.40;nd;nd;153;-0.010;-0.004;39.41;-0.020;0.4;nd;25;nd;30;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00459;Longford;Newtown Cashel;203436;258273;IE_SH_G_0091_2000_0001;19/01/98;7.3;9.80;nd;nd;200;0.010;0.001;16.43;0.010;nd;nd;20;0.1;12;21.7;2.5;24.31;127.5;-50;-20;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00460;Westmeath;Multifarnham;241762;262731;IE_SH_G_0077_3200_0001;20/01/98;7.4;10.00;nd;nd;170;0.010;0.002;13.37;0.030;nd;nd;15;0.1;7;19.9;1.7;9.39;126.6;-50;-20;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00461;Monaghan;Tydavnet (PWA);257300;340440;IE_NB_G_0014_2400_0010;22/01/98;7.6;nd;nd;nd;176;0.050;0.005;0.71;0.020;nd;nd;12;3.8;101;173.6;12.7;44.72;63.3;310;40;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00462;Louth;Ballymakenny;309118;277108;IE_EA_G_0025_2100_0002;26/01/98;7.5;nd;nd;nd;116;0.010;0.001;4.47;0.060;nd;nd;21;0.1;7;42.6;3.7;10.95;90.7;-50;20;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00463;Louth;Ardtullybeg;319557;306257;IE_NB_G_0024_2100_0001;26/01/98;7.5;nd;nd;nd;122;0.010;0.002;30.64;0.010;nd;nd;30;0.1;19;34.9;1.6;16.87;125.7;80;-20;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00464;Roscommon;Ballinaguard Spring (Roscommon Central);187436;261878;IE_SH_G_0091_2600_0003;26/01/98;7.2;9.70;nd;nd;134;-0.008;0.002;20.35;0.020;nd;nd;22;0.1;17;10.0;3.0;nd;nd;1;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00465;Roscommon;Ballinlough;157368;274313;IE_SH_G_0225_2600_0004;26/01/98;7.2;8.80;nd;nd;100;-0.008;0.002;17.29;0.032;nd;nd;18;0.1;22;10.0;3.0;nd;nd;-2;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00466;Roscommon;Castlerea WS & Regional;169137;278323;IE_SH_G_0225_2600_0007;26/01/98;7.1;9.40;nd;nd;203;-0.008;0.002;10.57;0.021;nd;nd;19;0.1;-10;10.0;2.0;nd;nd;1;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00467;Roscommon;Killeglin (South Roscommon);188682;240445;IE_SH_G_0225_2600_0010;26/01/98;7.3;10.00;nd;nd;166;-0.008;0.002;22.30;-0.008;nd;nd;19;0.1;-10;9.0;3.0;nd;nd;3;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00468;Roscommon;Mount Talbot;182031;252373;IE_SH_G_0225_2600_0012;26/01/98;7.1;8.30;nd;nd;163;-0.008;0.002;17.33;0.013;nd;nd;20;0.1;-10;10.0;3.0;nd;nd;4;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00469;Meath;Killmessan (Swainstown);289100;257280;IE_EA_G_0002_2300_0006;27/01/98;7.5;nd;nd;nd;154;0.010;0.001;4.47;0.020;1.7;nd;26;0.7;53;48.4;1.1;34.34;116.8;-50;-20;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00470;Meath;Curragha PW1;303340;255730;IE_EA_G_0014_2300_0001;27/01/98;7.1;nd;nd;nd;166;0.060;0.002;0.04;0.080;1.9;nd;22;0.3;13;29.8;4.3;16.75;170.4;1410;380;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00471;Limerick;Caherconlish;168409;150500;IE_SH_G_0036_3600_0004;27/01/98;7.3;nd;nd;nd;189;-0.005;-0.005;13.10;0.011;nd;nd;26;-0.2;15;15.2;2.0;19.70;119.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00472;Limerick;Ballyagran ;147010;128080;IE_SH_G_0046_3600_0001;27/01/98;7.3;nd;nd;nd;187;-0.005;-0.005;11.20;-0.005;nd;nd;24;-0.2;10;13.9;3.5;19.80;117.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00473;Roscommon;BoyleRockingham;184940;302873;IE_SH_G_0048_2600_0006;27/01/98;7.2;8.50;nd;nd;163;-0.008;0.002;7.00;0.023;nd;nd;18;0.1;-10;9.0;2.0;nd;nd;5;1;nd;36;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00474;Limerick;MartinstownBallinverena WS;170135;126474;IE_SH_G_0055_3600_0017;27/01/98;7.2;nd;nd;nd;114;-0.005;-0.005;4.47;0.015;nd;nd;12;-0.2;5;8.3;0.7;7.54;70.8;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00475;Roscommon;Toberreeoge Spring (knockcroghery);193376;259773;IE_SH_G_0091_2600_0015;27/01/98;7.2;9.80;nd;nd;163;-0.008;0.002;17.96;0.013;nd;nd;18;0.1;13;8.0;1.0;nd;nd;-2;-1;nd;2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00476;Roscommon;Keadew;190582;311872;IE_SH_G_0105_2600_0009;27/01/98;7.3;9.80;nd;nd;134;-0.008;0.002;6.77;0.031;nd;nd;16;0.1;14;9.0;1.0;nd;nd;-2;-1;nd;2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00477;Limerick;Pallasgreen;176753;144556;IE_SH_G_0129_3600_0020;27/01/98;7.4;nd;nd;nd;186;-0.005;-0.005;11.90;0.021;nd;nd;21;-0.2;14;13.8;2.7;22.30;110.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00478;Limerick;Murroe ;172612;156375;IE_SH_G_0213_3600_0019;27/01/98;7.3;nd;nd;nd;136;-0.005;-0.005;23.50;0.018;nd;nd;20;-0.2;10;11.9;1.3;6.15;108.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00479;Limerick;Clouncagh (Rathkeale);137080;134480;13_006;28/01/98;7.3;nd;nd;nd;162;-0.005;-0.005;20.40;0.019;nd;nd;30;-0.2;14;16.7;1.5;11.60;125.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00480;Donegal;Tir na League;246253;446457;IE_NW_G_0078_0600_0005;28/01/98;7.1;8.50;nd;nd;126;0.010;0.001;29.84;0.010;1.1;nd;30;0.0;28;45.4;6.2;23.94;118.5;-50;-20;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00481;Limerick;Glin;113117;146508;IE_SH_G_0030_3600_0011;28/01/98;7.5;nd;nd;nd;103;0.103;0.056;0.93;0.037;nd;nd;33;-0.2;12;49.4;1.6;14.00;39.8;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00482;Limerick;Croom;150770;141209;IE_SH_G_0084_3600_0007;28/01/98;7.2;nd;nd;nd;211;-0.005;-0.005;21.50;0.008;nd;nd;29;-0.2;20;15.3;2.9;25.00;141.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00483;Limerick;Fedamore;159312;144515;IE_SH_G_0084_3600_0010;28/01/98;7.2;nd;nd;nd;235;0.005;-0.005;23.70;0.038;nd;nd;33;-0.2;18;16.9;4.0;26.60;150.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00484;Limerick;Dromcolligher (Tobergall/SWRWSS);131550;127780;IE_SH_G_0190_3600_0009;28/01/98;7.6;nd;nd;nd;151;-0.005;-0.005;3.40;0.032;nd;nd;21;-0.2;10;14.5;1.0;23.50;92.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00485;Limerick;Doon ;181429;150645;IE_SH_G_0213_3600_0008;28/01/98;7.6;nd;nd;nd;127;-0.005;-0.005;22.40;-0.005;nd;nd;23;-0.2;11;10.5;1.3;12.50;87.5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00486;Clare;Ennis  Drumcliff ;132950;179000;IE_SH_G_0080_0300_0002;29/01/98;8.1;nd;nd;nd;127;0.023;-0.005;7.53;0.093;nd;nd;26;-0.2;9;14.3;3.3;5.49;106.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00487;Clare;Ballyvaughan;122000;206300;IE_WE_G_0001_0300_0001;29/01/98;8.6;nd;nd;nd;81;0.075;-0.005;5.21;0.086;nd;nd;22;-0.2;5;9.4;0.7;2.37;78.8;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00488;Meath;Enfield Bore;277958;240682;IE_EA_G_0002_2300_0004;03/02/98;7.2;nd;nd;nd;140;0.140;0.001;0.04;0.040;0.8;nd;13;0.3;12;15.3;2.2;4.20;129.0;950;380;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00489;Louth;Sheepgrange;301905;275487;IE_EA_G_0010_2100_0008;04/02/98;7.4;nd;nd;nd;99;0.010;0.001;104.68;0.010;1.0;nd;31;0.1;20;15.5;2.5;7.58;119.9;-50;-20;nd;nd;nd;nd;nd;nd;nd;0.2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00490;Louth;Tullyallen;302515;277876;IE_EA_G_0010_2100_0009;04/02/98;7.4;nd;nd;nd;98;0.010;0.001;72.22;0.020;1.3;nd;41;0.1;23;18.8;3.6;10.21;94.9;-50;-20;nd;nd;nd;nd;nd;nd;nd;10.0;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00491;Mayo;Crossmolina;109940;317020;16_008;09/02/98;7.6;nd;nd;nd;209;-0.008;0.002;15.93;-0.008;nd;nd;34;0.3;12;16.0;3.4;nd;nd;-2;-1;nd;5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00492;Laois;Mountmellick WS (Derrygile);245146;205809;IE_SE_G_0107_1600_0009;09/02/98;7.4;7.90;nd;nd;210;0.173;nd;17.49;-0.005;nd;nd;26;nd;33;13.9;1.6;16.44;112.8;18;2;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00493;Offaly;Banagher BH;202841;214032;IE_SH_G_0040_2500_0001;09/02/98;7.3;11.00;nd;nd;215;0.109;nd;17.34;-0.005;nd;nd;25;nd;22;10.1;2.0;10.01;140.9;8;1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00494;Offaly;Clonaslee Borehole  Forest;231725;210704;IE_SH_G_0066_1600_0002;09/02/98;7.3;10.50;nd;nd;162;0.064;nd;11.39;-0.005;nd;nd;18;nd;8;7.4;1.5;5.25;101.5;25;-5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00495;Sligo;Culfadda ;165618;312644;IE_WE_G_0037_2700_0002;09/02/98;7.5;8.00;nd;nd;151;-0.008;0.002;2.57;0.014;nd;nd;19;0.1;-10;8.0;1.9;nd;nd;-2;-1;nd;-5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00496;Sligo;Tobernalt;171031;332883;IE_WE_G_0042_2700_0003;09/02/98;7.4;9.50;nd;nd;143;-0.008;0.002;11.11;0.049;nd;nd;23;0.3;11;11.0;1.9;nd;nd;3;-1;nd;-5;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00497;Offaly;Edenderry  Kishawanny Bridge;264620;233420;IE_EA_G_0002_2500_0006;10/02/98;7.5;11.20;nd;nd;171;-0.010;nd;13.42;0.022;nd;nd;16;nd;16;7.9;1.2;17.16;95.7;-1;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00498;Offaly;Rhode RWSS AToberdaly WS;251738;231663;IE_SE_G_0049_2500_0012;10/02/98;7.5;12.30;nd;nd;168;-0.010;nd;0.09;0.015;nd;nd;14;nd;31;12.5;0.9;17.72;82.3;22;77;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00499;Offaly;Walsh Island PWS (Coolagarry BH);252173;221093;IE_SE_G_0116_2500_0015;10/02/98;7.4;10.00;nd;nd;200;-0.010;nd;29.09;0.010;nd;nd;22;nd;17;8.0;0.8;16.47;124.6;-1;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00500;Mayo;Ballindine;136200;269800;IE_WE_G_0019_2200_0001;10/02/98;6.9;9.80;nd;nd;198;-0.008;0.002;18.58;0.016;nd;nd;22;0.1;8;7.0;2.7;nd;nd;20;6;nd;100;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00501;Galway;Barnaderg;154500;245100;IE_WE_G_0020_1200_0003;10/02/98;6.8;9.60;nd;nd;156;-0.008;0.002;21.98;0.032;nd;nd;22;nd;6;80.0;4.6;nd;nd;10;2;nd;100;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00502;Galway;Kilbannon;141200;253900;IE_WE_G_0020_1200_0010;10/02/98;7.2;8.40;nd;nd;178;-0.008;0.002;12.93;0.013;nd;nd;20;nd;8;7.0;3.2;nd;nd;450;30;nd;90;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00503;Mayo;Kilkelly ;144100;291900;IE_WE_G_0032_2200_0013;10/02/98;7.3;9.30;nd;nd;139;-0.008;0.002;8.86;-0.008;nd;nd;17;0.1;6;7.0;1.4;nd;nd;20;1;nd;80;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00504;Mayo;Charlestown;145600;299500;IE_WE_G_0033_2200_0005;10/02/98;7.1;10.20;nd;nd;137;-0.008;0.002;8.94;-0.008;nd;nd;17;0.1;8;7.0;1.0;nd;nd;30;7;nd;90;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00505;Mayo;Swinford;138800;297500;IE_WE_G_0033_2200_0019;10/02/98;7.1;8.40;nd;nd;96;0.013;0.002;6.59;0.012;nd;nd;17;0.1;7;6.0;1.5;nd;nd;560;50;nd;110;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00506;Wicklow;Bulford Farm;329188;207672;IE_EA_G_0036_3400_0004;11/02/98;7.6;nd;nd;nd;146;-0.010;nd;19.82;0.008;nd;nd;21;nd;23;15.5;1.2;11.50;97.3;95;4;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00507;Wicklow;Redcross;324720;183680;IE_EA_G_0076_3400_0010;11/02/98;6.9;nd;nd;nd;23;-0.010;nd;33.08;0.030;nd;nd;18;nd;8;16.2;2.2;6.50;15.6;40;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00508;Wicklow;Roundwood (Ashtown);318660;203350;IE_EA_G_0076_3400_0011;11/02/98;6.4;nd;nd;nd;22;-0.010;nd;24.62;0.008;nd;nd;14;nd;4;10.0;1.2;7.50;13.6;5;6;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00509;Wicklow;Kerry Foods - Shillelagh;299504;167627;IE_SE_G_0011_3400_0007;11/02/98;6.5;nd;nd;nd;38;-0.010;nd;24.31;0.041;nd;nd;22;nd;20;20.2;2.1;5.90;26.5;35;1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
00510;Laois;Knocks;236944;200046;IE_SE_G_0047_1600_0007;11/02/98;7.6;9.10;nd;nd;98;-0.010;nd;10.76;0.006;nd;nd;12;nd;8;7.9;1.4;3.30;66.3;-1;-1;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
