ID;County;Site_Name;Easting;Northing;Depth;New_Code;Sample_Date;pH;T;O(0);Eh;Alkalinity;N(-3);N(3);N(5);P;C(-4);Si;Cl;F;S(6);Na;K;Mg;Ca;Fe;Mn;B;Al;Cr;Ni;Cu;Zn;As;Cd;Sb;Ba;Pb;U;Hg;Co;Mo;Sr;Ag;Be
5577;Clare;Scarriff;166294;188521;;IE_SH_G_0236_0300_0003;05/07/10;6.8;13.1;nd;183;149;-0.026;-0.007;3.76;-0.015;-1.5;8;16;-0.2;6;10;1;12;72;-10;-1;11;-5;-1;-1;1;2;-0.5;-0.1;-0.5;40;-0.5;0.6;-0.05;-0.5;-0.5;184;0.6;-0.5
5578;Galway;New Village NV1Shallow1;109810;244660;;IE_WE_G_0006_1200_0022;05/07/10;7.2;12.2;nd;-108;254;-0.026;-0.007;-0.36;-0.015;6;21;26;0.2;-2;21;3;18;102;89;383;-10;-5;-1;-1;1;3;0.7;-0.1;-0.5;2320;-0.5;126;-0.05;-0.5;1;578;-0.5;-0.5
5579;Galway;New Village NV1Transition;109810;244660;;IE_WE_G_0006_1200_0023;05/07/10;6.1;15.7;nd;80;50;0.328;0.053;-0.36;-0.015;11.8;10;18;-0.2;50;11;8;4;35;4970;789;-10;140;1;2;1;4;0.8;-0.1;-0.5;1730;-0.5;4;-0.05;2;1;209;-0.5;-0.5
5580;Galway;New Village NV1Deep;109810;244660;;IE_WE_G_0006_1200_0024;05/07/10;7.2;11;nd;27;254;-0.026;-0.007;-0.36;-0.015;-1.5;20;21;-0.2;4;25;1;26;95;-10;461;17;-5;-1;-1;-1;2;-0.5;-0.1;-0.5;695;1;267;-0.05;-0.5;4;nd;-0.5;-0.5
5581;Galway;New Village NV2Shallow;110020;244190;;IE_WE_G_0006_1200_0025;05/07/10;6.1;13.7;nd;6;29;0.088;-0.007;-0.36;-0.015;3.4;6;21;-0.2;14;12;0.7;3;13;6270;1060;-10;13;-1;2;1;6;3;-0.1;-0.5;2630;-0.5;1;-0.05;2;-0.5;127;0.9;-0.5
5582;Galway;New Village NV2Transition;110020;244190;;IE_WE_G_0006_1200_0026;05/07/10;5.8;14.3;nd;-75;18;0.381;-0.007;-0.36;-0.015;19.1;8;18;-0.2;5;10;1;2;4;6870;410;14;382;2;3;2;5;4;-0.1;-0.5;557;2;0.5;-0.05;2;-0.5;40;-0.5;-0.5
5583;Galway;New Village NV2Deep;110020;244190;;IE_WE_G_0006_1200_0027;05/07/10;7.5;10.8;nd;78;133;-0.026;-0.007;-0.36;-0.015;-1.5;14;34;-0.2;3;15;4;15;58;-10;1;-10;-5;-1;-1;2;2;-0.5;-0.1;-0.5;987;-0.5;51;-0.05;-0.5;-0.5;nd;-0.5;-0.5
5584;Galway;New Village NV3Shallow;110380;243950;;IE_WE_G_0006_1200_0028;05/07/10;6.5;10.4;nd;-70;74;0.541;-0.007;-0.36;-0.015;10.3;11;25;-0.2;-2;11;0.9;3;30;13400;3220;-10;32;-1;-1;-1;5;6;-0.1;-0.5;2770;-0.5;6;-0.05;0.8;-0.5;1150;0.8;0.7
5585;Galway;New Village NV3Transition;110380;243950;;IE_WE_G_0006_1200_0029;05/07/10;6.2;12.3;nd;49;81;0.308;0.108;3.18;-0.015;11.1;14;14;-0.2;49;11;3;7;54;1440;1160;-10;28;-1;4;9;6;0.8;0.1;-0.5;1250;-0.5;78;-0.05;15;1;487;-0.5;-0.5
5586;Galway;New Village NV3Deep;110380;243950;;IE_WE_G_0006_1200_0030;05/07/10;7.2;12.3;nd;72;230;-0.026;-0.007;-0.36;-0.015;-1.5;16;23;-0.2;4;17;2;40;63;-10;-1;-10;-5;-1;-1;1;3;-0.5;-0.1;-0.5;574;-0.5;212;-0.05;-0.5;1;2030;-0.5;-0.5
5587;Galway;New Village NV1Shallow2;109810;244660;;IE_WE_G_0006_1200_0031;05/07/10;7.1;11.5;nd;-25;264;-0.026;-0.007;-0.36;-0.015;5.9;21;23;-0.2;-2;21;2;24;97;1080;904;12;-5;-1;-1;1;3;2;-0.1;-0.5;1700;-0.5;154;-0.05;-0.5;1;573;-0.5;-0.5
5588;Galway;New Village SW1;111047;243987;;IE_WE_G_0006_1200_0032;05/07/10;7.8;16.9;nd;59;-7;-0.026;-0.007;-0.36;-0.015;9.6;0;12;-0.2;5;7;-0.3;0.99;2;347;25;-10;22;-1;-1;-1;6;-0.5;-0.1;-0.5;38;-0.5;0.2;-0.05;-0.5;-0.5;23;-0.5;-0.5
5589;Wicklow;Gormanstown USC;286311;205207;;IE_EA_G_0003_1400_0006;06/07/10;7;9.7;nd;97;214;-0.026;-0.007;15.01;0.029;-1.5;7;12;-0.2;7;7;2;6;119;-10;-1;-10;-5;-1;-1;3;5;-0.5;-0.1;-0.5;25;0.5;1;-0.05;-0.5;-0.5;202;-0.5;-0.5
5590;Wicklow;Baltinglass PWS (Tinoran);285390;188860;;IE_SE_G_0011_3400_0001;06/07/10;6.1;11;nd;122;38;-0.026;-0.007;24.8;0.016;-1.5;18;15;-0.2;11;12;1;4;25;-10;-1;-10;-5;-1;2;5;67;2;-0.1;-0.5;59;1;-0.1;-0.05;-0.5;-0.5;87;-0.5;-0.5
5591;Kildare;Athy UDWS (Townparks BH);267951;194510;;IE_SE_G_0160_1400_0001;06/07/10;7.2;11.3;nd;8;199;-0.026;-0.007;16.56;-0.015;-1.5;7;46;-0.2;27;16;1;21;100;12;1;28;-5;-1;-1;3;224;-0.5;-0.1;-0.5;18;2;1;-0.05;-0.5;-0.5;207;-0.5;-0.5
5592;Kildare;Lippstown/Narraghmore GWS;279806;198060;;IE_SE_G_0173_1400_0008;06/07/10;6.9;10.5;nd;115;256;-0.026;-0.007;15.06;-0.015;-1.5;8;16;-0.2;11;7;3;16;137;-10;-1;23;-5;-1;-1;2;5;-0.5;-0.1;-0.5;90;-0.5;1;-0.05;-0.5;-0.5;208;-0.5;-0.5
5593;Cork;Carraignabhfear PWS;167289;82105;;IE_SW_G_0004_0500_0005;06/07/10;6.2;11.5;nd;240;51;-0.026;-0.007;24.93;0.027;-1.5;12;19;-0.2;15;12;0.7;7;34;-10;-1;-10;-5;-1;-1;8;18;5;-0.1;-0.5;18;-0.5;0.2;-0.05;-0.5;-0.5;91;-0.5;-0.5
5594;Cork;Watergrasshill PWS;178447;83981;;IE_SW_G_0004_0500_0028;06/07/10;5.8;11;nd;221;14;-0.026;-0.007;5.71;-0.015;-1.5;5;17;-0.2;4;9;0.6;2;7;12;1;-10;10;-1;-1;-1;3;-0.5;-0.1;-0.5;7;-0.5;-0.1;-0.05;-0.5;-0.5;21;-0.5;-0.5
5595;Cork;Cloyne PWS;191880;67175;;IE_SW_G_0028_0500_0009;06/07/10;7.1;11.3;nd;254;254;-0.026;-0.007;22.28;-0.015;-1.5;7;37;-0.2;18;16;2;7;104;-10;4;14;-5;-1;-1;1;11;-0.5;-0.1;-0.5;2;-0.5;0.6;-0.05;-0.5;-0.5;136;-0.5;-0.5
5596;Cork;Whitegate PWS (Dower Spring);197985;72941;;IE_SW_G_0058_0500_0026;06/07/10;7.3;11.2;nd;236;121;0.099;0.007;24.26;-0.015;-1.5;6;34;-0.2;13;16;2;9;83;-10;-1;20;-5;-1;-1;-1;3;-0.5;-0.1;-0.5;7;-0.5;0.5;-0.05;-0.5;-0.5;130;-0.5;-0.5
5597;Mayo;Glencastle GC3Shallow;76420;327850;;IE_WE_G_0057_2200_0027;06/07/10;7;10.9;nd;55;173;0.047;-0.007;-0.36;-0.015;4;9;59;-0.2;23;31;3;33;52;-10;3080;19;-5;-1;-1;-1;5;-0.5;-0.1;-0.5;31;-0.5;3;-0.05;-0.5;-0.5;168;-0.5;-0.5
5598;Mayo;Glencastle GC3Transition;76420;327850;;IE_WE_G_0057_2200_0028;06/07/10;6.8;11.3;nd;103;127;0.026;-0.007;0.44;-0.015;5.7;14;115;-0.2;19;39;71;21;33;-10;28;13;-5;-1;1;1;2;-0.5;-0.1;-0.5;41;-0.5;0.4;-0.05;-0.5;-0.5;199;0.6;-0.5
5599;Mayo;Glencastle GC3Deep;76420;327850;;IE_WE_G_0057_2200_0029;06/07/10;7.4;10.9;nd;73;156;-0.026;-0.007;-0.36;-0.015;-1.5;10;64;-0.2;21;36;8;29;55;-10;354;27;-5;-1;-1;-1;4;-0.5;-0.1;-0.5;51;-0.5;8;-0.05;-0.5;-0.5;185;-0.5;-0.5
5600;Mayo;Glencastle GC3Subsoil;76420;327850;;IE_WE_G_0057_2200_0030;06/07/10;6.8;12.6;nd;63;118;0.209;-0.007;-0.36;-0.015;11;13;43;-0.2;25;22;10;10;48;10400;968;11;13;1;2;1;9;1;-0.1;-0.5;68;-0.5;0.2;-0.05;1;0.6;244;1.3;-0.5
